Combined Name,Mediapipe,RTMPose,YOLO
Ankle,0.3244565702581602,0.6841635014436673,0.4186709349409232
Ankle Angle,0.2126100463466557,0.4556654128982702,0.0
Elbow,0.44455188322895334,0.7448480851656815,0.3885861461439821
Elbow Angle,0.27418781664963826,0.4522292774159845,0.2486085185653219
Feet,0.3039696430039205,0.6744026819480013,0.0
Hip,0.4977952309115897,0.7752692808573883,0.6123241925885786
Hip Angle,0.34568277082521615,0.5196081819043027,0.3249838147209784
Knee,0.4085368478897869,0.7436511595878093,0.46805251708805484
Knee Angle,0.2614393531031686,0.6081783695881924,0.2999745495315922
Shoulder,0.43944346372619253,0.8240689049024292,0.5893016766226008
Shoulder Angle,0.3647631965751402,0.6070408973476151,0.3359349307547094
Wrist,0.44828120469032556,0.7478482256279959,0.37416746774271226
