Combined Name,Mediapipe,MMPose,YOLO
Ankle,0.012117491495613315,0.07282472781645803,0.01635313838588816
Ankle Angle,0.027597694382735356,0.11972232340349358,0.0
Elbow,0.027956463415696534,0.0696158674710663,0.015320923296181793
Elbow Angle,0.0626501053775783,0.08368695106599314,0.034578295382768645
Feet,0.019080103764851246,0.07518373571302063,0.0
Hip,0.03825926926178409,0.09219092624536142,0.04060812027238093
Hip Angle,0.10068054313410296,0.14110415751661182,0.07584149705437025
Knee,0.024315790428312042,0.1336801650112188,0.02295680208902697
Knee Angle,0.05344609551319416,0.22554615561989902,0.05964939232437365
Shoulder,0.02799511205703263,0.11284493389643899,0.036448791871916346
Shoulder Angle,0.09973168627471833,0.19493425520662477,0.08288590730697683
Wrist,0.025376304693069913,0.07832816659709337,0.016899324700088526
