Combined Name,Mediapipe,MMPose,YOLO
Ankle,0.014373271026520187,0.08430079089465901,0.02062059831437175
Ankle Angle,0.03795083755357231,0.14155429619136548,0.0
Elbow,0.033450369537667925,0.08719607989020196,0.020555578092136245
Elbow Angle,0.1113948557307787,0.13875731889331439,0.06005015413373586
Feet,0.021017915479131757,0.08838488268660512,0.0
Hip,0.042848369123209086,0.10332732439323225,0.05575560735043131
Hip Angle,0.17144433474824503,0.20069417141896562,0.12701026980792002
Knee,0.030079715266208614,0.1551689626813402,0.03242735805469896
Knee Angle,0.07582887062794262,0.30700261912923577,0.08460390400083587
Shoulder,0.03708608321186023,0.15925029964554124,0.05409389395242688
Shoulder Angle,0.1609554744445009,0.2953800328684088,0.13728570323877023
Wrist,0.03489703338998793,0.1088326584614437,0.021329346895851465
